epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,1157.58,0.48037,0.31953,0.9439,0.9762,0.95833,0.9807,0.86187,0.52104,0.3486,0.92843,0.00097832,0.00097832,0.00097832
131,1166.53,0.46191,0.31543,0.93465,0.94911,0.97138,0.98311,0.87601,0.50136,0.36471,0.91335,0.0009704,0.0009704,0.0009704
132,1175.36,0.47561,0.32203,0.94957,0.96638,0.97917,0.98453,0.87457,0.50172,0.34658,0.92032,0.00096248,0.00096248,0.00096248
133,1184.5,0.49246,0.32922,0.93669,0.95989,0.96875,0.98181,0.88126,0.49359,0.35462,0.93143,0.00095456,0.00095456,0.00095456
134,1192.57,0.45193,0.31762,0.92844,0.96851,0.96875,0.98261,0.8653,0.50897,0.35495,0.92607,0.00094664,0.00094664,0.00094664
135,1201.47,0.46645,0.31637,0.93358,0.97834,0.95833,0.98502,0.8825,0.5056,0.36221,0.91407,0.00093872,0.00093872,0.00093872
136,1209.09,0.44309,0.29619,0.92734,0.98829,0.95833,0.98933,0.88865,0.5217,0.35027,0.91842,0.0009308,0.0009308,0.0009308
137,1219.32,0.45949,0.29998,0.93766,0.98775,0.96875,0.98811,0.89446,0.51229,0.32908,0.9185,0.00092288,0.00092288,0.00092288
138,1227.01,0.44513,0.30023,0.93259,0.96928,0.98618,0.98731,0.88905,0.48426,0.31513,0.91782,0.00091496,0.00091496,0.00091496
139,1236.91,0.45044,0.30156,0.92091,0.97915,0.97846,0.98832,0.88807,0.51054,0.30921,0.92543,0.00090704,0.00090704,0.00090704
140,1244.95,0.44879,0.31503,0.93237,0.96904,0.978,0.9894,0.88473,0.49756,0.30596,0.9291,0.00089912,0.00089912,0.00089912
141,1254.58,0.459,0.31358,0.9423,0.96935,0.98846,0.99077,0.8931,0.53031,0.2915,0.94387,0.0008912,0.0008912,0.0008912
142,1263.03,0.45043,0.30597,0.92673,0.98726,0.96875,0.9871,0.88732,0.49043,0.29513,0.90967,0.00088328,0.00088328,0.00088328
143,1272.5,0.45164,0.30713,0.95005,0.97852,0.95833,0.98075,0.87184,0.51873,0.32548,0.9197,0.00087536,0.00087536,0.00087536
144,1281.11,0.47072,0.31276,0.92366,0.98936,0.96816,0.98846,0.88135,0.48981,0.29404,0.90586,0.00086744,0.00086744,0.00086744
145,1289.51,0.44043,0.29946,0.92956,0.98722,0.96875,0.98534,0.87776,0.48111,0.30532,0.90826,0.00085952,0.00085952,0.00085952
146,1297.89,0.456,0.2923,0.91734,0.98645,0.96875,0.98537,0.8842,0.50084,0.32008,0.91975,0.0008516,0.0008516,0.0008516
147,1306.07,0.44593,0.29969,0.93472,0.98201,0.96875,0.98172,0.886,0.48927,0.31502,0.91544,0.00084368,0.00084368,0.00084368
148,1314.99,0.43683,0.28784,0.9154,0.9679,0.97917,0.98052,0.88972,0.47711,0.32806,0.91144,0.00083576,0.00083576,0.00083576
149,1323.03,0.41706,0.29216,0.90896,0.96605,0.97917,0.98059,0.89038,0.46215,0.30984,0.89976,0.00082784,0.00082784,0.00082784
150,1332.29,0.43792,0.29449,0.93243,0.96748,0.97917,0.97999,0.87438,0.49078,0.32024,0.91475,0.00081992,0.00081992,0.00081992
151,1340.11,0.44218,0.29633,0.93443,0.96732,0.97917,0.98234,0.87846,0.49274,0.33139,0.91088,0.000812,0.000812,0.000812
152,1350.02,0.41793,0.29773,0.91152,0.97909,0.97917,0.98397,0.87608,0.49494,0.32348,0.91053,0.00080408,0.00080408,0.00080408
153,1357.79,0.44923,0.31438,0.9488,0.98791,0.97917,0.98621,0.88636,0.49647,0.31398,0.90598,0.00079616,0.00079616,0.00079616
154,1368.11,0.45116,0.30328,0.92446,0.98632,0.97917,0.98412,0.88213,0.50525,0.31783,0.91177,0.00078824,0.00078824,0.00078824
155,1376.2,0.41469,0.28266,0.91663,0.96776,0.97917,0.98752,0.88731,0.49666,0.313,0.912,0.00078032,0.00078032,0.00078032
156,1386.4,0.44999,0.29499,0.93236,0.97908,0.97505,0.98879,0.87881,0.48938,0.30558,0.90736,0.0007724,0.0007724,0.0007724
157,1394.42,0.41756,0.29439,0.90842,0.98791,0.97917,0.98723,0.88352,0.48087,0.30377,0.91128,0.00076448,0.00076448,0.00076448
158,1404.11,0.42502,0.28299,0.91785,0.98957,0.98853,0.98562,0.8899,0.48552,0.31315,0.91361,0.00075656,0.00075656,0.00075656
159,1412.88,0.448,0.29923,0.93393,0.98957,0.98788,0.98604,0.88661,0.49698,0.31437,0.91935,0.00074864,0.00074864,0.00074864
160,1422.06,0.42557,0.30024,0.92442,0.97506,0.98958,0.98444,0.8908,0.48538,0.33004,0.90773,0.00074072,0.00074072,0.00074072
161,1430.43,0.43056,0.29717,0.92869,0.98366,0.95833,0.98598,0.89367,0.46217,0.30993,0.89969,0.0007328,0.0007328,0.0007328
